,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,timestep
0,991.8583919558729,993.2786971264549,988.7699946947574,992.8885643175748,991.0944044707313,991.737936993024,0
1,-177.2456409045882,-2992.5374353365337,-2987.5800730110664,-2989.5750460828626,-120.2305517099374,-2989.4057252591024,2014
2,-3008.977669833017,-3007.2388239169386,-3001.224608814573,-3004.5158187840498,-3007.5890661941876,-3004.7518091562783,3015
3,-3003.473217572957,-3001.8876277284016,-3003.3435395150777,-3004.8815215867467,-3003.285129300599,-3005.5542354530544,4016
4,-2867.198029896022,-158.2822468221319,-2999.313072629241,-324.01076415943925,-2959.595288749085,-3013.0686980219684,5017
5,-3007.321743058704,-3007.924360956065,-3007.618455743351,-3002.473125442069,-3007.052808753708,-3005.5877887250635,6018
6,-326.07794813826996,-60.99977920504686,-373.37816412098545,-409.08748166422873,-40.992323281642854,-64.85765099789911,7019
7,-3007.8574913090665,-3006.0407952454425,-3005.191640410788,-3003.6939418835536,-3002.61357484695,-3006.2838894049873,8020
8,-2933.723314620246,-2921.9992697279126,-2901.85532410881,-2988.962079079406,-2977.628658604188,-525.1778199234917,9021
9,-3001.1224305738315,-3002.53171136528,-3000.07400000865,-42.152202076799895,-2999.3823214824306,-3004.8254304642287,10022
10,-48.71493233616965,-67.83629829750168,-154.63636803386115,-105.31315675409165,-95.99742546711025,-228.3775124943007,11023
11,-2914.857451935757,-2960.514312403556,-2929.621290982196,-2899.8002387191914,-2817.5366963056667,-2836.1285471755887,12027
12,-2989.773741980356,-2978.576039820868,-2975.419348560127,-2979.719880048153,-2965.7343535926398,-2982.265052732518,13028
13,-3006.4445965905475,-3005.14187631736,-3002.245568064539,-3016.454863868394,-3002.483903717723,-3007.4135076253065,14029
14,-2979.1843674362503,-82.1441558894123,-104.4348946754592,-104.12180865201749,-189.30754135126082,-182.5472737758374,15030
15,-124.42188483902022,-3008.891898820063,-3013.760127174068,-39.4875501112909,-3004.0928751484953,-3047.6906035354996,16033
16,-2997.744703146449,-3005.4413305658936,-3004.6095719304176,-3006.819535210714,-3001.536043523169,-3008.935397497521,17034
17,-3002.736872173324,-2996.801149485879,-3006.271488785324,-3002.01732469387,-3007.390504223936,-3006.444011407346,18035
18,-3000.0578042506145,-408.179746575393,-2986.0992538974037,-82.7824794387586,-2019.287628965077,-48.60963696786749,19036
19,-3012.6268323236495,-2582.6678034854035,-96.63651830411415,-1110.922636237068,-2363.996997361937,-3018.7931121983484,20037
20,-57.064604784026464,-96.90338832755003,-25.373249497776072,-22.797033069783865,-40.54642433385087,-652.8627048270242,21039
21,-102.51825876844877,-119.6376342385503,-178.2684938013545,-181.00617897259863,-217.1141471957395,-96.09034315823868,22069
22,-593.7650654908924,-128.6955235086514,-349.0957763104345,-488.4442090401374,-400.14017305443406,-1168.7937454181658,23073
23,-125.45166602923256,-2952.617622540909,-111.1991887459162,-545.3110292578323,-171.6789573629078,-154.37048119387697,24075
24,-35.56242665711822,-140.71868555390836,-103.82773148170324,-2955.0242658320612,-31.00842073354484,-264.041812905583,25076
25,-2920.3966022837335,-44.23601905991434,-3006.911949855377,-257.3383122927206,-2923.135769800174,-277.91221596139115,26077
26,-3019.238213230481,-2973.242689991957,-3019.933683213775,-2995.679489822026,-3005.1826122250204,-3023.5493255680544,27078
27,-65.1263798053948,-143.03251856142148,-105.83131943096859,-104.10830373830865,-193.39892339533162,-127.61550211583716,28079
28,-2997.836820162594,-3004.9889416453175,-2927.4818690632173,-3002.3533496207237,-3003.923217685946,-3015.5490940896993,29113
29,-46.955479999904284,-224.03670376135355,-77.41348248126354,-2968.4834439151423,-181.88934863745556,-493.29400252826554,30114
30,-66.00787661179145,-36.0585401989582,-33.10827716634565,-28.61178119648473,-10.650605029035736,-36.33944562934922,31120
31,-2978.685163527868,-3004.9971388889953,-316.9554927947636,-3021.1840115073774,-3012.5389988960274,-3024.379796101815,32162
32,-314.4232340220138,-110.44771575762816,-77.02404921590421,-45.2199438434504,-212.85105347139694,-100.00917963679497,33163
33,-2806.086112147661,-421.514604165031,-2932.728547053164,-2983.0437848094016,-2987.4895131668522,-2813.392110065978,34164
34,-58.16979736014296,-42.06481428252375,-79.80291349321227,-1411.4686518436042,-147.60474165977797,-62.30247590285173,35165
35,-2989.3949431940596,-2993.5265571836203,-2987.7125894736987,-3004.2372373475014,-2995.984079929529,-3001.081838720915,36182
36,-3004.864141265575,-2997.666428605953,-2995.8201335285244,-2998.957913206849,-2966.3686253059523,-2997.6769498620565,37183
37,-177.6136826836399,-18.048404198841855,-27.83489093123771,-70.82433936105429,-36.16084366941371,-142.8463958283679,38184
38,-3021.7033470265224,-2977.4310550120995,-3022.820910509825,-197.97482994163505,-44.237822231360845,-158.78039987213782,39220
39,-3024.6591654099598,-3028.657186963838,-3027.4134590017015,-2998.6307152415543,-3002.904100893532,-3034.873421376669,40221
40,-2952.6617543030934,-27.89202336683775,-2972.189571900118,-2968.24802713544,-37.9322430411154,-101.1796059089675,41222
41,-3040.492572270448,-3014.3023656100613,-2996.987057921114,-2966.266491432163,-3106.564206687571,-2954.106826310345,42223
42,-1130.700173526175,-16.308731610026133,-2966.617613421498,-124.60608246484257,-14.041203098078977,-2995.871197359,43224
43,-3040.1420126093462,-1683.1519094039807,-2947.939631758915,-966.4656317585673,-520.3209278696502,-2957.3983694583267,44225
44,-1784.0708505645262,-608.3516277116248,-926.342152500441,-3018.148758950443,-78.20740025324365,-846.2475279044796,45226
45,-3034.15019161335,-90.5211355129244,-123.46720896686341,-3013.3711716702314,-2936.098135445453,-55.85366407330674,46231
46,-2951.04812286932,-179.08596533729272,-94.36993768867715,-269.50333012346425,-173.5258007222264,-275.748525080635,47236
47,-102.74129508142757,-131.8596752165254,-530.3572432608429,-155.1660961475756,-124.58753474567274,-253.79625529905542,48237
48,-2994.730603243866,-386.8722675731224,-61.60458142693147,-272.9489684628323,-3069.482361319895,-814.8457169864728,49238
49,-2965.1929710965073,-144.93431642879622,-74.90915741239697,-30.88788016076587,-315.2527035277504,-86.40746013066783,50247
50,-41.45468700093882,-271.7909451284655,-99.57484611837039,-42.69810137478327,-73.20972151150151,-243.5857699463255,51264
51,-111.15757681991268,-2046.8442678131612,-50.70754425444426,-685.8917574214325,-397.88146932783667,-48.51265966479284,52265
52,-384.17401888884575,-631.0200959692345,-2946.3464554317234,-671.4683187343672,-508.88273185542266,-631.2246003599869,53266
53,-163.2061455776457,-49.70613200669628,-147.4920375038671,-226.85889025692012,-194.49529152473028,-240.24716676904848,54267
54,-1337.149784318259,-401.2316708274625,-307.4537951469481,-192.3224936810306,-348.6447388757295,-229.1460311886239,55274
55,-2985.1867595330036,-2965.4108290421464,-2999.2716157818904,-2952.8622805285145,-2978.0137838644787,-2956.5211124415496,56286
56,-2976.8123588365606,-2962.401377064742,-2886.732967476885,-2924.370274623933,-2979.410898851199,-2961.5499887183523,57287
57,-79.52809088078912,-39.998648737780236,-72.05101809524618,-205.97532120416474,-35.74704824262804,-309.6385061521571,58288
58,-3019.604560618414,-2990.6917434886063,-27.836484745004523,-3050.436304860212,-130.82174829901368,-2976.2534281636827,59291
59,-55.13803746482372,-118.4487119547071,-100.52670313493054,-33.971294318824725,-106.45831790626725,-53.72712536488747,60295
60,-280.77877741623035,-458.0411181589759,-357.206967732974,-456.0906710489282,-326.22125394398347,-56.869064717132545,61319
61,-329.46170247450345,-252.81346470504303,-28.33366491523371,-586.9953835778208,-235.28722214232494,-2963.0311742763547,62325
62,-3002.0383367058207,-2953.6793626153217,-2933.979820884218,-2601.0749798849383,-585.625101292379,-3022.0203244245563,63332
63,-2936.3241730975574,-2986.9067350984674,-2949.3401723646375,-3018.084924580063,-2948.0566498952358,-2975.6110781697234,64333
64,-2774.789713762102,-915.6611317310691,-837.3300575920468,-908.280781698459,-2872.1748661488946,-2901.1492206549833,65334
65,-373.88331245232615,-63.38759855458576,-79.92361892998662,-221.9319774797715,-110.79413323495015,-33.973988656520355,66335
66,-38.61068763178688,-104.46745251190174,-54.40445369549496,-31.976381214979554,-93.53913511626237,-123.7266787374714,67336
67,-70.60831538604914,-28.017566203196854,-2990.65743179962,-64.58580758674663,-2995.1407680515913,-64.76207077285858,68343
68,-3054.80910439507,-2976.004987344185,-139.90855900763944,-77.06772654957688,-49.08429112939161,-58.6902077425347,69344
69,-2929.0065767229967,-1588.3057501635353,-2797.546224472145,-2903.4999523912297,-2996.59191027585,-2976.4994177599856,70349
70,-2997.3210261458366,-2982.902223339162,-2980.5267257108285,-2916.153899157413,-3021.28379465614,-3002.981978591715,71350
71,-52.85052300524934,-3004.868432451779,-200.797255376948,-100.66137540642656,-212.25888905998414,-79.03483556931998,72351
72,-149.4172054844181,-57.69860460662744,-2996.314697648085,-52.77629923245846,-212.09776719049032,-42.244045017866235,73352
