,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,timestep
0,-0.6783404491365957,-2.4238096118797894,0.0815670826253385,-0.8095096723470355,-1.7177570086019949,-1.1004257683295997,0
1,-819.822442713354,-811.7107552012945,-622.1698768974304,-600.8214061234146,-955.3780422452026,-680.5582934445456,2000
2,-592.315710275887,-289.40969475972145,-543.7821085662039,-638.3357924695383,-625.2713372525612,-614.0913145776672,3000
3,-640.4996676063632,-516.3963404871614,-534.683564624625,-563.2878922650432,-502.5340143568551,-660.1333308169233,4000
4,-582.5731233592512,-517.9192510647307,-525.4603400858466,-722.2831394976705,-467.45091321798975,-610.5861582678593,5000
5,-425.0246039242566,-769.1940538672989,-700.5781092974084,-684.1397268245283,-694.6109929536881,-727.4667060609856,6000
6,-271.9027136651775,-453.2672016886892,-338.8459598298622,-433.0046102410985,-363.72425889138214,-395.5489770909741,7000
7,-795.5586560469837,-992.4036765804177,-802.9675080970134,-977.7563554849728,-859.1353387439815,-1018.9295303648393,8000
8,-672.3094973350267,35.42608422849808,-171.2750765641041,-84.77039661845431,-72.28137124385611,-548.1195219848926,9000
9,-548.242242647912,-477.0039421668246,-554.2150225598089,-539.7015795990121,-571.0009467577432,-498.63673930121786,10000
10,-522.480815338754,-176.66333076216227,-524.3084998166809,-451.4832978682204,-438.55968716694525,-537.2657740206404,11000
11,-1259.5037547843503,-1066.3186435928446,-1225.827950276908,-1323.6468181010657,-1179.8527789842726,-1090.9873323367133,12000
12,170.76776277158655,308.07146320304844,240.57007330143892,211.43050432047949,339.8870535056627,327.5159013922435,13000
13,-370.8626143270401,-296.0459220366563,-264.9351187108173,-340.6439071564391,-364.86470538091146,-313.4661469039875,14000
14,-81.28489277553214,-373.1938265454947,-529.1824925723125,-78.7867744607225,123.69833373007538,-386.9889250532394,15000
15,-602.6537738137671,-675.2546392384181,-727.2262898703331,-685.0517611895652,-793.0525987317932,-864.8990167781315,16000
16,-284.88714324542855,-294.32728367972766,-901.1444727426791,-343.4019065791945,-247.56615734801463,-300.8940664270095,17000
17,-530.3398469845465,-557.9995420289971,-609.0647703966945,-535.3380590528651,-647.7147565631103,-600.2100236482524,18000
18,-333.44065650333744,-371.43805654213105,-367.50655094170673,-440.9275959157082,-484.24348703732556,-281.483870190972,19000
19,-69.94781500461244,-156.7425358965705,-151.86160603120865,-160.9100839950501,-66.29618374706143,-44.35496910949231,20000
20,-966.1302196589107,-1004.9794168831012,-862.0360037186587,-1026.072280824686,-1095.24509963179,-774.4553761340544,21000
21,-1725.155882894275,-1310.3127789770815,-1722.3732306294703,-1593.9499035642596,-1841.0974017065462,-1778.3394198054125,22000
22,-361.26497001264784,-322.84785445709036,-362.89895207144195,-345.9350218780485,-377.40904945495583,-207.7678457255445,23000
23,-736.3822397808053,-760.9704170478842,-992.2272738518377,-857.1168858212316,-1109.1485439813503,-990.577498927075,24000
24,-1426.7893250938812,-1595.1158826938333,-1466.7808413383596,-1462.0875767571679,-1310.3615071677289,-1392.7575268410728,25000
25,-335.9923316132637,-466.97226840855063,-362.2512803763668,-1017.5092494442046,-185.55068959269227,-542.9674655495312,26000
26,-794.2257475566475,-690.5901521712985,-690.4688497517088,-824.0148705249206,-710.7985443069368,-726.0461319401315,27000
27,-801.4125492153723,-768.6172221350299,-800.5779788104285,-847.6929476487362,-800.8725754181461,-796.9165141651154,28000
28,-836.5175098966364,-821.4446852350051,-750.4788505456861,-844.2811499635402,-819.2343634964418,-848.5968425933743,29000
29,-1168.1182671462013,-1190.5912578461018,-1197.3170225736467,-1202.564259673916,-1202.5507801960644,-1188.6625336085742,30000
30,-490.64972454258447,-437.36768174026497,-512.1656971933312,-618.3209048574715,-613.9403730008265,-427.02376206645914,31000
31,-599.4788070735434,-601.5472685896698,-598.3608727887377,-597.6456606102514,-598.5021284797632,-594.6069525604308,32000
32,-440.12942842723055,-256.4720383682196,-260.84405209404906,-197.3128850354159,-403.116860576627,-336.7474031125351,33000
33,-366.5955864810528,-257.061080884056,-325.46294244049693,-415.73374332467495,-238.5239214167309,-415.6656665432113,34000
34,-608.513857146518,-578.7703253257592,-579.870369210729,-682.5345831805456,-686.8831244976329,-657.8309375345866,35000
35,-674.6597176263697,-793.9211781568165,-811.85855811628,-700.480375355898,-755.2929082425154,-760.8535431013013,36000
36,-695.5558298545035,-643.4936198458436,-671.2744959709948,-629.5855764685763,-763.7978169897244,-713.7098618942624,37000
37,-46.20559801715086,-153.02048299433795,-403.19882892934163,-207.24740733926168,-121.38909316882115,-241.46660440019366,38000
38,-78.2369822482557,-43.165933531962814,-82.79307798622057,-61.584083198126,-46.99791442828492,-58.72374723785514,39000
39,-597.6771717068526,-597.1889708457994,-596.5755683073048,-594.3164542783701,-597.1476109423448,-595.085965327815,40000
40,-592.6029705395775,-569.5581692227871,-597.6110582419892,-594.8637446671654,-578.2317033360395,-583.7582031664089,41000
41,-408.01862900540016,-358.60204481344516,-293.6897458126701,-386.378623291815,-398.42450104840515,-396.1854642477441,42000
42,-122.36910158872075,-188.69895266411459,-219.81779735083074,97.74122685179476,-548.875957099519,-298.02320062216785,43000
43,-523.6035649891835,-376.83332291018417,-499.820624591597,-545.0945687416332,-507.94079441430847,-560.8650837387205,44000
44,-522.6419483938158,-527.7589044795573,-515.4716986558861,-532.5430067706502,-536.6944991638854,-533.362839159589,45000
45,-596.6364418856722,-598.5968098833249,-602.2269934216074,-600.9161243961497,-599.1861401600406,-597.7709823328911,46000
46,-597.3464796127255,-601.6828685019943,-601.7843522482852,-589.1420171776002,-595.7377162717568,-602.7184821361936,47000
47,-548.1097007506894,-539.2538469290049,-534.6522463542141,-534.5746767036097,-537.51619502287,-541.4308018035389,48000
48,-593.8693037851885,-595.7671572341156,-597.0805183219079,-597.2873242621436,-593.320907627659,-590.9996777247945,49000
49,-752.7234334626553,-750.778185227409,-758.9722540837048,-756.7449686304375,-761.127230958671,-755.2056801920401,50000
50,-598.5453032716229,-596.0362975730588,-599.1284646608334,-594.2746502768263,-594.2827295800537,-592.0350490156654,51000
51,-990.8360733717718,-991.8946396183135,-993.7909522978819,-998.6908248565408,-990.2652319270715,-995.6199299473844,52000
